order,person_name,ig_name,ig_id,ig_strong_id,done,posts,Followers,Following,ig_url,ig_url ig_private,ig_notSure_notFound,ig_repeat,category,followers
1,蔡阿嘎,蔡阿嘎,yga0721,45717781,1,8178,1495461,501,https://www.instagram.com/yga0721/,,,,趣味搞笑,"5,893,557"
2,PanSci-泛科學,PanSci 泛科學,pansci,1455058965,1,1453,283652,399,https://www.instagram.com/pansci/,,,,知識教育,"1,830,902"
3,黃阿瑪的後宮生活,黃阿瑪的後宮生活,fumeancat,1399123752,1,4550,1050878,159,https://www.instagram.com/fumeancat/,,,,寵物,"4,117,370"
4,小象愛出門,小象愛出門,elephant_gogo,484667815,g,1888,183273,1129,https://www.instagram.com/elephant_gogo/,,,,"美食料理,旅遊","1,158,083"
5,那對夫妻,那對夫妻Nico&Kim ,1006nk,1701651749,1,3146,1030978,3,https://www.instagram.com/1006nk/,,,,"趣味搞笑,家庭母嬰,表演藝術","4,576,655"
6,大蛇丸,大蛇丸,jam_cutepig,2214964723,1,882,551530,390,https://www.instagram.com/jam_cutepig/,,,,趣味搞笑,"2,042,767"
7,Aries艾瑞絲,Aries艾瑞絲,aries_8248,453456033,g,2044,779766,943,https://www.instagram.com/aries_8248/,,,,"美食料理,表演藝術,趣味搞笑","4,774,089"
8,陳彥婷,陳彥婷 Tiffany,thetiffanychen,4053642540,1,2147,642973,352,https://www.instagram.com/thetiffanychen/,,,,趣味搞笑,"1,585,007"
9,Joeman,Joeman 九妹,joemanweng,360484090,g,1615,666819,996,https://www.instagram.com/joemanweng/,,,,"美食料理,3C科技,趣味搞笑","3,981,236"
10,一隻阿圓,一隻阿圓,nanaciaociao,313471712,1,3373,563686,593,https://www.instagram.com/nanaciaociao/,,,,"美妝保養,時尚潮流,旅遊","1,725,846"
11,豆漿--Soybean-Milk,豆漿-SoybeanMilk,soybeanmilk_cat,5556187464,1,2242,433921,34,https://www.instagram.com/soybeanmilk_cat/,,,,寵物,"1,834,682"
12,貓貓蟲-咖波,Bugcat Capoo,bugcat_capoo,2122019014,1,1735,2136350,291,https://www.instagram.com/bugcat_capoo/,,,,表演藝術,"6,526,761"
13,人類超有病-Baxuan,霸軒BAXUAN ,baxuan_ig,1959578996,g,1066,742233,2830,https://www.instagram.com/baxuan_ig/,,,,"表演藝術,趣味搞笑","2,784,459"
14,蕾菈-Lyla,蕾菈 Lyla,la.112814,534488377,g,1486,1147024,1627,https://www.instagram.com/la.112814/,,,,趣味搞笑,"2,924,293"
15,好味小姐,"好味小姐與蛋捲,短褲,麻糊,米香,橘皮,本丸,圓仔,More ",ladyflavor,3417748590,1,2094,395768,112,https://www.instagram.com/ladyflavor/,,,,"美食料理,寵物","1,591,823"
15,好味小姐,好味小姐脆脆,ladyflavor_cui,3656815405,1,1378,369611,122,https://www.instagram.com/ladyflavor_cui/,,,,"美食料理,寵物","1,591,823"
15,好味小姐,好味小姐腦波弱跟Podcast ,ladyflavor_nowpo,53675526308,1,472,205735,9,https://www.instagram.com/ladyflavor_nowpo/,,,,"美食料理,寵物","1,591,823"
16,小A辣,小A辣🌶️,ala780705,5703523434,g,1744,354298,1499,https://www.instagram.com/ala780705/,,,,趣味搞笑,"2,844,787"
17,泱泱-LYNN,泱泱LYNN ,lynnwu0219_2,47642521277,1,21,76276,93,https://www.instagram.com/lynnwu0219_2/,,,,帶貨分潤,"1,966,599"
18,千千進食中,千千,khshu_,254432523,g,1002,891802,974,https://www.instagram.com/khshu_/,,,,美食料理,"3,603,862"
19,Sandy-珊迪,Sandykaka 珊迪,sandykaka_,2620202,1,3279,292906,479,https://www.instagram.com/sandykaka_/,,,,"美食料理,寵物,遊戲電玩","892,734"
20,飆悍,陳之漢,power3067830678,3791242285,1,1841,782079,150,https://www.instagram.com/power3067830678/,,,,"運動健身,遊戲電玩,時事討論","3,377,635"
21,Yun-Chou,Yun Chou,riceandshine.co,851583,g,2961,834659,993,https://www.instagram.com/riceandshine.co/,,,,家庭母嬰,"1,591,069"
22,琳妲-林羿禎,琳妲-林羿禎💕 ,linda831212,262292089,g,5232,1036871,2416,https://www.instagram.com/linda831212/,,,,"表演藝術,趣味搞笑","2,676,124"
23,How-Fun-如何爽,HowHow,howhowhasfriends,6505088311,1,1921,523443,103,https://www.instagram.com/howhowhasfriends,,,,趣味搞笑,"2,759,513"
24,魔術Channel---Davio,🎩Davio🎩,davio_magic,3025123501,g,2093,351680,682,https://www.instagram.com/davio_magic/,,,,表演藝術,"1,018,319"
25,HOOK,HOOK ,helloiamhook,6666970922,1,1154,648553,448,https://www.instagram.com/helloiamhook/,,,,"寵物,旅遊,美食料理","2,870,332"
26,lan&Eric,The DoDo Men - 嘟嘟人,thedodomen,22597217534,1,1101,609185,482,https://www.instagram.com/thedodomen/,,,,"旅遊,趣味搞笑","2,209,418"
27,嘎嫂二伯,嘎嫂二伯,2uncle987,2113732341,g,4245,774220,703,https://www.instagram.com/2uncle987/,,,,"旅遊,家庭母嬰","1,197,000"
28,Peter-Su,Peter Su,peter825,2059966,g,3594,668099,930,https://www.instagram.com/peter825/,,,,"旅遊,知識教育","1,439,199"
29,Sandy-&-Mandy,Sandy&Mandy,sandymandy_official,5694299090,1,586,519307,248,https://www.instagram.com/sandymandy_official/,,,,表演藝術,"4,341,726"
30,愛莉莎莎-Alisasa,愛莉莎莎Alisasa 🐨 ,goodalicia,328949039,g,1637,615843,1279,https://www.instagram.com/goodalicia/,,,,"美妝保養,時尚潮流","2,280,213"
