order,ig_name,person_name,Followers,Following,Total_Post,Catecory,total_vedios,total_likes,avg_like,max_like,min_like,total_comments,avg_coments,max_comments,min_comments,total_tags,avg_tags,max_tags,_min_tags,total_views,avg_views,max_views,min_views,total_duration,max_duration,avg_duration,min_duration,In-Degree_Following,Out-Degree_Following,Mutual_following_Following,Betweeness_Centrality_Following,Elgenvecor_Centrality_Following,Local_Cluster_Coefficient_Following,Core-periphery_Coeeficient_Following,Greedy_Following,Louvain_Following,Walktrap_Following,In-Degree_Tags,Out-Degree_Tags,Mutual_Tags,Betweeness_Centrality_Tags,Elgenvecor_Centrality_Tags,Local_Cluster_Coefficient_Tags,Core-periphery_Coeeficient_Tags,Greedy_Tags,Louvain_Tags,Walktrap_Tags
1,yga0721,蔡阿嘎,1495461,501,8178,趣味搞笑,344,4868890,14153.75,132239,1467,36072,104.8604651,2368,0,365,1.061046512,7,0,230100943,668898.0901,5538246,81102,35804.75,7609.37,104.0835756,6.27,76,43,41,0.01,0.17,0.4,27,B,A,A,146,50,3,0.03,0.85,0.02,3,H,H,I
2,joemanweng,Joeman,666819,996,1615,美食料理 3C科技 趣味搞笑,177,2127225,12018.22034,123394,754,13407,75.74576271,664,4,55,0.310734463,3,0,138434297,782114.6723,4649687,168603,9354.56,338.45,52.85062147,9.77,94,86,78,0.05,0.17,0.27,27,C,C,A,3,8,1,0.01,0,0,3,A,A,E
3,fumeancat,黃阿瑪的後宮生活,1050878,159,4550,寵物,97,1624368,16746.06186,492669,2403,5464,56.32989691,802,10,9,0.092783505,3,0,28721559,296098.5464,6294815,56688,2085.12,66.54,21.49608247,1.27,29,18,12,0,0.06,0.38,23,B,C,A,0,0,0,0,0,0,0,-,-,-
4,khshu_,千千進食中,891802,974,1002,美食料理,78,1042445,13364.67949,99570,1648,5707,73.16666667,364,12,58,0.743589744,5,0,43342777,555676.6282,2511579,89233,3561.49,115.83,45.66012821,6.87,90,72,68,0.04,0.18,0.31,27,A,B,B,9,3,2,0.02,0.04,0,3,D,C,A
5,elephant_gogo,小象愛出門,183273,1129,1888,美食料理 旅遊,122,659444,5636.273504,125314,7,11069,90.7295082,1597,0,198,1.62295082,20,0,30257623,248013.3033,1397908,1646,15645.5,3965.27,128.2418033,7.73,8,11,5,0,0.02,0.48,13,C,B,B,0,0,0,0,0,0,0,-,-,-
6,1006nk,那對夫妻,1030978,3,3146,趣味搞笑 家庭母嬰 表演藝術,190,2895919,15241.67895,96076,640,20804,109.4947368,1058,9,12,0.063157895,2,0,113748944,598678.6526,3382020,177956,17093.21,582.87,89.96426316,4,15,2,2,0.01,0.02,0.22,13,C,A,B,0,0,0,0,0,0,0,-,-,-
7,howhowhasfriends,How-Fun-如何爽,523443,103,1921,趣味搞笑,96,1265861,13186.05208,127496,30,14728,153.4166667,7257,1,40,0.416666667,3,0,30255575,315162.2396,2480340,793,6435.41,166.1,67.03552083,8.77,74,8,6,0,0.15,0.34,27,B,A,A,2,2,2,0,0,0.01,2,D,C,J
8,pansci,PanSci-泛科學,283652,399,1453,知識教育,288,2128685,7391.267361,81161,75,14693,51.01736111,368,0,0,0,0,0,42379082,147149.5903,1163619,12380,32737.03,179.58,113.6702431,8,10,18,3,0,0.01,0.31,20,B,A,A,0,0,0,0,0,0,0,-,-,-
9,nanaciaociao,一隻阿圓,563686,593,3373,美妝保養 時尚潮流 旅遊,160,1159993,7999.951724,106114,1218,8250,51.5625,302,9,192,1.2,20,0,72871287,455445.5438,2486844,95716,7792.97,136.93,48.7060625,5.48,80,45,44,0.01,0.16,0.36,27,A,B,B,32,2,1,0.04,0,0,3,B,B,B
10,arielsvlog_816,欸你這週要幹嘛,708449,473,1411,趣味搞笑,82,2051192,25014.53659,230160,2993,4737,57.76829268,403,3,56,0.682926829,4,0,73453972,895780.1463,3207165,273195,18146.47,7594.88,221.2984146,8.61,46,47,38,0.01,0.11,0.43,27,C,B,B,0,0,0,0,0,0,0,-,-,-
11,basil_77777,77老大,395721,591,1054,醫療健康 知識教育,49,552227,11269.93878,101296,972,7713,157.4081633,1258,8,2,0.040816327,1,0,19395515,395826.8367,2192168,67746,3447.45,104.63,70.35612245,28.06,33,40,26,0.01,0.08,0.42,27,A,B,B,0,1,0,0,0,0,1,M,J,M
12,minikiki_0529,那個女生-Kiki,289658,511,1099,美食料理 知識教育,66,460751,7553.295082,81028,1060,4847,73.43939394,732,9,15,0.227272727,2,0,28282428,428521.6364,2871369,78539,4124.83,178.83,62.49742424,7.62,35,42,31,0,0.09,0.5,27,C,A,A,0,3,0,0,0,0,2,B,B,B
13,rayduenglish,阿滴英文,1089513,2228,1570,知識教育,68,1673834,24615.20588,248810,3437,6336,93.17647059,602,4,33,0.485294118,3,0,67684020,995353.2353,10627279,232210,3035.75,86.13,44.64338235,11.29,111,119,100,0.11,0.2,0.23,27,B,C,A,14,38,2,0.03,0,0,3,E,E,F
14,ladyflavor,好味小姐,395768,112,2094,美食料理 寵物,155,2615722,16875.62581,69327,2717,6418,41.40645161,441,1,15,0.096774194,3,0,45556817,293914.9484,923927,45617,7343.14,105.1,47.37509677,12.51,26,18,12,0,0.05,0.43,23,B,C,A,0,0,0,0,0,0,0,-,-,-
14,ladyflavor_cui,好味小姐,395768,112,2094,美食料理 寵物,342,11096576,32446.12865,88405,14712,43370,126.8128655,851,27,3,0.00877193,2,0,234183683,684747.6111,2087601,99904,21290.94,180.04,62.25421053,18.1,26,18,12,0,0.05,0.43,23,B,C,A,2,5,2,0.01,0,0,2,-,-,-
14,ladyflavor_nowpo,好味小姐,395768,112,2094,美食料理 寵物,168,5090655,30301.51786,73354,8369,85068,506.3571429,24869,15,183,1.089285714,3,0,136366249,811703.8631,1642179,70730,19275.9,232.86,114.7375,28.87,26,18,12,0,0.05,0.43,23,B,C,A,3,1,0,0,0,0,1,-,-,-
15,jaychang0127,廉傑克曼,415002,4032,1855,遊戲電玩,145,1921634,13252.64828,281053,52,12023,82.91724138,1525,0,36,0.248275862,4,0,43425223,299484.2966,2255171,2655,10432.77,181.23,71.95013793,7.83,72,74,54,0.03,0.15,0.3,27,B,A,A,0,0,0,0,0,0,0,D,C,J
16,teacherchiang,江老師,308786,624,1922,表演藝術 時尚潮流 家庭母嬰,287,1958840,6849.090909,134441,107,18838,65.63763066,1400,0,118,0.411149826,7,0,70814168,246739.2613,2712105,42840,34147.14,4741.64,118.9795819,4.32,27,22,17,0.01,0.05,0.32,22,A,B,B,0,0,0,0,0,0,0,G,G,M
17,lessonsfrommovies,那些電影教我的事,1484140,87,6816,影視評論,9,17704,1967.111111,7350,556,59,6.555555556,35,0,1,0.111111111,1,0,1708245,189805,433354,99608,518.19,90.6,57.57666667,23.82,20,2,1,0,0.04,0.32,18,B,A,B,20,4,2,0.02,0,0,3,-,-,-
18,soybeanmilk_cat,豆漿--Soybean-Milk,433921,34,2242,寵物,19,387996,20420.84211,108275,6289,2575,135.5263158,595,38,0,0,0,0,6946369,365598.3684,1986263,72930,637.21,90.13,33.53736842,4.1,9,7,5,0,0.02,0.57,9,B,C,A,0,1,0,0,0,0,1,-,-,-
