ig_name,total_vedios,total_likes,avg_like,max_like,min_like,total_comments,avg_coments,max_comments,min_comments,total_tags,avg_tags,max_tags,_min_tags,total_views,avg_views,max_views,min_views,total_duration,max_duration,avg_duration,min_duration
0_shufen,94,599586.0,6378.574468085107,22791.0,34.0,14098,149.9787234042553,497,1,14,0.14893617021276595,2,0,34519985.0,367233.8829787234,1838544.0,813.0,1307.94,65.47,13.914255319148937,2.18
1006nk,190,2895919.0,15241.67894736842,96076.0,640.0,20804,109.49473684210527,1058,9,12,0.06315789473684211,2,0,113748944.0,598678.652631579,3382020.0,177956.0,17093.21,582.87,89.96426315789473,4.0
1105ya,110,689463.0,9710.74647887324,92331.0,0.0,11196,101.78181818181818,580,0,44,0.4,3,0,47722405.0,433840.04545454547,7259950.0,1407.0,2642.89,79.7,24.026272727272726,5.37
1_shiuan_0,62,340435.0,6947.65306122449,42786.0,1433.0,3830,61.774193548387096,827,11,59,0.9516129032258065,11,0,14145074.0,228146.35483870967,1465469.0,48069.0,3515.9,128.13,56.708064516129035,5.37
20141010hero,14,378706.0,27050.428571428572,137946.0,3221.0,1355,96.78571428571429,555,8,2,0.14285714285714285,2,0,8112081.0,579434.3571428572,2795907.0,63506.0,1356.56,179.7,96.89714285714285,33.67
2uncle987,238,2278621.0,9574.03781512605,102557.0,876.0,32617,137.04621848739495,6851,0,108,0.453781512605042,4,0,116405025.0,489096.743697479,3953141.0,64274.0,63741.01,10149.64,267.81936974789915,4.62
3ctim,281,294727.0,1048.8505338078292,18779.0,4.0,2317,8.245551601423488,207,0,43,0.15302491103202848,2,0,22429366.0,79819.80782918149,1490362.0,1189.0,15209.710000000001,144.58,54.12708185053381,3.93
5inana,12,33035.0,2752.9166666666665,3894.0,1255.0,862,71.83333333333333,216,20,0,0.0,0,0,1398407.0,116533.91666666667,152521.0,57243.0,173.54999999999998,29.1,14.462499999999999,5.5
602avenue,169,1555486.0,9314.287425149701,63228.0,827.0,11306,66.89940828402366,808,0,57,0.33727810650887574,4,0,75516472.0,446843.0295857988,2579539.0,35466.0,8958.93,137.69,53.011420118343196,5.55
6tan,43,219248.0,5098.790697674419,14666.0,524.0,1177,27.372093023255815,121,0,3,0.06976744186046512,1,0,7092819.0,164949.27906976745,471952.0,71271.0,2122.86,99.27,49.36883720930233,9.61
87acup,105,1117764.0,10645.371428571429,106063.0,1298.0,9198,87.6,620,9,54,0.5142857142857142,7,0,45479629.0,433139.32380952383,3501439.0,82994.0,6463.68,126.67,61.55885714285714,8.44
achusan0817,53,376766.0,7108.792452830188,31564.0,76.0,1494,28.18867924528302,118,0,4,0.07547169811320754,1,0,9611170.0,181342.83018867925,467109.0,1733.0,3037.5199999999995,101.97,57.31169811320754,8.26
ackj0301_ifbbpro,141,1858003.0,13177.326241134751,222510.0,564.0,13147,93.24113475177305,1125,2,273,1.9361702127659575,6,0,59963707.0,425274.5177304965,4265093.0,87449.0,7948.629999999999,195.44,56.37326241134751,10.1
afunnywii,96,650108.0,6771.958333333333,110274.0,446.0,7617,79.34375,465,1,73,0.7604166666666666,4,0,19583745.0,203997.34375,1974527.0,36508.0,5362.1,148.43,55.85520833333334,7.6
