order,person_name,ig_name,ig_id,ig_url,ig_private,ig_notSure_notFound,ig_repeat,temperature_link
1,館長 陳之漢,陳之漢(@power3067830678),power3067830678,https://www.instagram.com/power3067830678/,,,,https://dailyview.tw/top100/item/1247?theme=36&range=30
2,蔡阿嘎 蔡緯嘉,蔡阿嘎(@yga0721),yga0721,https://www.instagram.com/yga0721/,,,,https://dailyview.tw/top100/item/1246?theme=36&range=30
3,嘎嫂二伯&蔡波能,嘎嫂二伯(@2uncle987),2uncle987,https://www.instagram.com/2uncle987/,,,,https://dailyview.tw/top100/item/19379?theme=36&range=30
4,蔡桃貴,蔡桃貴(@tsaigray2018),tsaigray2018,https://www.instagram.com/tsaigray2018/,,,,https://dailyview.tw/top100/item/14457?theme=36&range=30
5,Cheap 鄭才暐,鄭才暐(@cheapaoe),cheapaoe,https://www.instagram.com/cheapaoe/,,,,https://dailyview.tw/top100/item/15683?theme=36&range=30
6,張志祺（志祺七七 X 圖文不符）,志祺(@shasha77.daily),shasha77.daily,https://www.instagram.com/shasha77.daily/,,,,https://dailyview.tw/top100/item/12004?theme=36&range=30
7,亞拉（貓貓蟲咖波）,Bugcat Capoo(@bugcat_capoo),bugcat_capoo,https://www.instagram.com/bugcat_capoo/,,,,https://dailyview.tw/top100/item/3047?theme=36&range=30
8,歷史哥 李易修,歷史哥李易修(@mrhisbro),mrhisbro,https://www.instagram.com/mrhisbro/,,,,https://dailyview.tw/top100/item/21386?theme=36&range=30
9,鍾明軒,鍾明軒(@big_star_ken),big_star_ken,https://www.instagram.com/big_star_ken/,,,,https://dailyview.tw/top100/item/1257?theme=36&range=30
10,晚安小雞,smallville780(@smallville780),smallville780,https://www.instagram.com/smallville780/,1,,,https://dailyview.tw/top100/item/23512?theme=36&range=30
11,寒國人 張紹群,張紹群(@a22731391),a22731391,https://www.instagram.com/a22731391/,,,,https://dailyview.tw/top100/item/27722?theme=36&range=30
12,唐綺陽,唐綺陽Jesse Tang (@jessetang11),jessetang11,https://www.instagram.com/jessetang11/,,,,https://dailyview.tw/top100/item/1271?theme=36&range=30
13,反骨男孩 WACKYBOYS,反骨WACKYBOYS (@wackyboys520),wackyboys520,https://www.instagram.com/wackyboys520/,,,,https://dailyview.tw/top100/item/7805?theme=36&range=30
14,丁特 Dinter,丁特頻道(@dinteroffical),dinteroffical,https://www.instagram.com/dinteroffical/,,,,https://dailyview.tw/top100/item/2798?theme=36&range=30
15,八炯 温子渝（攝徒日記Fun TV）,八炯(@musiclin_1107),musiclin_1107,https://www.instagram.com/musiclin_1107/,,,,https://dailyview.tw/top100/item/27721?theme=36&range=30
16,有感筆電 Daptoper,有感筆電Daptoper (@daptoper),daptoper,https://www.instagram.com/daptoper/,,,,https://dailyview.tw/top100/item/18056?theme=36&range=30
17,恩恩老師EanTV,恩恩老師EanTV (@happyeantv),happyeantv,https://www.instagram.com/happyeantv/,,,,https://dailyview.tw/top100/item/19335?theme=36&range=30
18,Den,DenQ (@denqdenq),denqdenq,https://www.instagram.com/denqdenq/,,,,https://dailyview.tw/top100/item/14754?theme=36&range=30
19,居妮 Ginny,GINNY HSIEH (@ning3035),ning3035,https://www.instagram.com/ning3035/,,,,https://dailyview.tw/top100/item/13079?theme=36&range=30
20,黃明志,黃明志(@namewee),namewee,https://www.instagram.com/namewee/,,,,https://dailyview.tw/top100/item/3677?theme=36&range=30
21,Andy老師 王崇睿,Andy老師(@andy1994x),andy1994x,https://www.instagram.com/andy1994x/,,,,https://dailyview.tw/top100/item/26853?theme=36&range=30
22,呂捷,呂捷(@vgsa.tw),vgsa.tw,https://www.instagram.com/vgsa.tw/,,,,https://dailyview.tw/top100/item/12235?theme=36&range=30
23,雨揚（雨揚樂活家族）,招財｜數字測驗(@yu.young_fate),yu.young_fate,https://www.instagram.com/yu.young_fate/,,,,https://dailyview.tw/top100/item/18047?theme=36&range=30
24,叉雞,叉雞Chah G🤍 (@chah.ggggg),chah.ggggg,https://www.instagram.com/chah.ggggg/,,,,https://dailyview.tw/top100/item/28879?theme=36&range=30
25,薔薔 林嘉凌,薔薔林嘉凌Lin chia ling (@chialing_maze),chialing_maze,https://www.instagram.com/chialing_maze/,,,,https://dailyview.tw/top100/item/2495?theme=36&range=30
25,薔薔 林嘉凌,薔栗膠   (@linchialing_maze),linchialing_maze,https://www.instagram.com/linchialing_maze/,,,,https://dailyview.tw/top100/item/2495?theme=36&range=30
26,呱吉 邱威傑,呱吉(@froggychiu),froggychiu,https://www.instagram.com/froggychiu/,,,,https://dailyview.tw/top100/item/7651?theme=36&range=30
27,葳老闆 周品均,周品均(@mayukichou),mayukichou,https://www.instagram.com/mayukichou/,,,,https://dailyview.tw/top100/item/22461?theme=36&range=30
28,Inokawa Hajime井川一,井川一InokawaHajime (@yaobinyang),yaobinyang,https://www.instagram.com/yaobinyang/,,,,https://dailyview.tw/top100/item/20924?theme=36&range=30
29,老王 王倚隆,跟著老王好好學股票 (@oldwangstock),oldwangstock,https://www.instagram.com/oldwangstock/,,,,https://dailyview.tw/top100/item/19376?theme=36&range=30
