ig_id,strong_id__,post_count,follower_count,following_count,is_private,scraped_at
power3067830678,3791242285,1831,786430,150,False,2026-01-29 14:06:50
yga0721,45717781,8095,1493196,500,False,2026-01-29 14:07:47
2uncle987,2113732341,4166,772300,702,False,2026-01-29 14:08:31
tsaigray2018,8047388429,4229,1153645,59,False,2026-01-29 14:09:24
cheapaoe,1752644498,398,24769,524,False,2026-01-29 14:10:17
shasha77.daily,7011513421,1102,238312,537,False,2026-01-29 14:11:07
bugcat_capoo,2122019014,1724,2137885,291,False,2026-01-29 14:11:59
mrhisbro,7350103442,8853,8270,74,False,2026-01-29 14:12:56
big_star_ken,870236286,2027,630300,0,False,2026-01-29 14:13:45
smallville780,3251228707,0,23049,268,True,2026-01-29 14:14:36
a22731391,293624761,51,877,138,False,2026-01-29 14:16:22
jessetang11,3607972713,865,745706,179,False,2026-01-29 14:17:26
wackyboys520,4126064568,2080,352741,500,False,2026-01-29 15:17:02
dinteroffical,62095737953,1,812,2,False,2026-01-29 15:18:12
musiclin_1107,1502079503,426,98354,778,False,2026-01-30 08:54:48
daptoper,9242692067,75,208651,69,False,2026-01-30 09:03:51
