source_influencer,total_following,username,ig_user_id,full_name,scraped_at
thedodomen,342,2uncle987,2113732341,嘎嫂二伯,2026-02-04 17:36:45
thedodomen,342,rayduenglish,288968436,阿滴,2026-02-04 17:36:45
thedodomen,342,imayday55555,6900417580,五月天 Mayday,2026-02-04 17:36:45
thedodomen,342,iammissga,5580690141,嘎老師 Miss Ga | 歌唱教學 | YouTuber,2026-02-04 17:36:45
thedodomen,342,huang45490,4354947072,哲哲 ZHE,2026-02-04 17:36:45
thedodomen,342,moroccoexploreadventure,17547521359,Morocco Explore Adventure,2026-02-04 17:36:45
thedodomen,342,linchiauwang_jewel,3322241539,LIN CHIAU WANG 王琳喬,2026-02-04 17:36:45
thedodomen,342,specsome2022,53350374835,有特色的帥哥,2026-02-04 17:36:45
thedodomen,342,dodomen_dolphins,48165569132,𝘿𝙤𝙡𝙥𝙝𝙞𝙣𝙨’ 𝙘𝙡𝙪𝙗 🐬,2026-02-04 17:36:45
thedodomen,342,ambermusic221,8418463342,AMBER LU,2026-02-04 17:36:45
thedodomen,342,mayday_stone,1403664377,MAYDAY STONE,2026-02-04 17:36:45
thedodomen,342,foodpanda_taiwan,1412692446,foodpanda Taiwan,2026-02-04 17:36:45
thedodomen,342,david2695g,2203775461,Tang Bao,2026-02-04 17:36:45
thedodomen,342,sonypicturestw,3136602866,Sony Pictures 索尼影業,2026-02-04 17:36:45
thedodomen,342,gopro_taiwan,1514142612,GoPro 台灣粉絲團,2026-02-04 17:36:45
thedodomen,342,heineken_tw,11712080100,海尼根,2026-02-04 17:36:45
thedodomen,342,an_chan_98,53585822,Enson,2026-02-04 17:36:45
thedodomen,342,daptoper,9242692067,有感筆電 Daptoper,2026-02-04 17:36:45
thedodomen,342,wumamiiiig,41965586194,門前隱味牛肉麵,2026-02-04 17:36:45
thedodomen,342,ellsonliao,451605523,怡塵 全民試車手🚘,2026-02-04 17:36:45
thedodomen,342,kudream,1951468493,Ku,2026-02-04 17:36:45
thedodomen,342,tumazapparel,17041697466,Tumaz Apparel ®｜專業機能｜休閒運動服飾品牌,2026-02-04 17:36:45
thedodomen,342,nauticataiwan,58418494973,Nautica Taiwan,2026-02-04 17:36:45
thedodomen,342,brianptseng,3639488180,曾博恩 Brian Tseng,2026-02-04 17:36:45
thedodomen,342,katiasusu,246458834,Katia,2026-02-04 17:36:45
thedodomen,342,amazingtalker.show,48576601407,驚奇玩起來｜AmazingTalker Show,2026-02-04 17:36:45
thedodomen,342,taitaihome,1953124172,邰智源 邰邰的IG,2026-02-04 17:36:45
thedodomen,342,weibirdmusic,2237781422,WeiBird 韋禮安,2026-02-04 17:36:45
thedodomen,342,crowd520,3054913485,眾量級 CROWD,2026-02-04 17:36:45
thedodomen,342,mikadoquartz.tw,48303350329,Mikado Quartz 帝雉石｜Saiens山恩,2026-02-04 17:36:45
thedodomen,342,bigcat1130,638279,花蓮•深夜食堂-更名為「蒔夜壽司」,2026-02-04 17:36:45
thedodomen,342,elephantdee,1359749783,Dee,2026-02-04 17:36:45
thedodomen,342,bonjour.louis,333041115,Bonjour Louis! 我是路易,2026-02-04 17:36:45
thedodomen,342,dcard.video,32350728987,Dcard Video|影音團隊的秘密後花園,2026-02-04 17:36:45
thedodomen,342,peeta.taketake,25463056361,Peeta TakeTake,2026-02-04 17:36:45
thedodomen,342,kaochishun,9284817714,高啟舜,2026-02-04 17:36:45
thedodomen,342,mosseri,95561,Adam Mosseri,2026-02-04 17:36:45
thedodomen,342,flowwithkatie,6834514995,Flow With Katie 凱蒂瑜伽,2026-02-04 17:36:45
thedodomen,342,baisiang.c,4002144977,百祥,2026-02-04 17:36:45
thedodomen,342,da_chien_huang,40500436,黃大謙,2026-02-04 17:36:45
thedodomen,342,funkydance_pan,8547925211,潘若迪＿Funky Dance,2026-02-04 17:36:45
thedodomen,342,taipei_rider,35134172691,台北騎士 Taipei Rider,2026-02-04 17:36:45
thedodomen,342,wumamiiig,6050511018,門前隱味牛肉麵✘大叔,2026-02-04 17:36:45
thedodomen,342,aka.chairman,31045102302,Chairman椅人,2026-02-04 17:36:45
thedodomen,342,lifeintaiwan2017,5315998682,Lifeintaiwan,2026-02-04 17:36:45
thedodomen,342,walkbelljohn,52171559582,走鐘獎｜Walk Bell John Awards,2026-02-04 17:36:45
thedodomen,342,tai_tzuying,5624551919,戴資穎/Tai Tzu Ying,2026-02-04 17:36:45
thedodomen,342,enzo_dellafemmina,52764692630,Enzo Della Femmina 🦂🇫🇷🇮🇹,2026-02-04 17:36:45
thedodomen,342,mittentomunich,8421163229,Mitten To Munich 〽️➡️🇩🇪,2026-02-04 17:36:45
thedodomen,342,styderbespoke,5693394019,𝙎𝙏𝙔𝘿𝙀𝙍,2026-02-04 17:36:45
thedodomen,342,mrnigelng,6218865912,Nigel Ng (Uncle Roger),2026-02-04 17:36:45
thedodomen,342,okolea_mtaa_foundation,47154301820,Okolea Mtaa Foundation,2026-02-04 17:36:45
thedodomen,342,ashin_ig,8176338037,五月天 阿信,2026-02-04 17:36:45
thedodomen,342,sallyhsieh_0228,408528924,香香 謝香畦사향희,2026-02-04 17:36:45
thedodomen,342,mandarinwithpeggy,48428789555,Peggy Chen | YouTube 【Peggy Fo Show】,2026-02-04 17:36:45
thedodomen,342,riceandshine.co,851583,Yun Chou,2026-02-04 17:36:45
thedodomen,342,mika_ontheroad,321659259,謎卡 Mika Lin,2026-02-04 17:36:45
thedodomen,342,arielsvlog_816,8320554996,欸你這週要幹嘛,2026-02-04 17:36:45
thedodomen,342,lene.stagram,520271085,🌻Charlene.00,2026-02-04 17:36:45
thedodomen,342,songannelin,332064928,林頌安,2026-02-04 17:36:45
thedodomen,342,osn.osn,1245384508,高爾宣 OSN,2026-02-04 17:36:45
thedodomen,342,binlin1305,1016951959,壹比零 Rio,2026-02-04 17:36:45
thedodomen,342,zoebitalk,7376429059,#肉比頭 #用奇怪方式環遊世界的情侶,2026-02-04 17:36:45
thedodomen,342,badtimestories365,10511802276,床編故事 Bad Time Stories,2026-02-04 17:36:45
thedodomen,342,muyao4,5422332449,木曜4超玩,2026-02-04 17:36:45
thedodomen,342,issytpc,4149514323,ISSY,2026-02-04 17:36:45
thedodomen,342,jam_hsiao0330,1802745185,蕭敬騰 Jam Hsiao love Summer,2026-02-04 17:36:45
thedodomen,342,sunnyboyyy,205729694,Sunny Wang 王陽明,2026-02-04 17:36:45
thedodomen,342,raydudaily,5611724936,阿滴日常,2026-02-04 17:36:45
thedodomen,342,kiehlstw,1919304825,Kiehl’s 契爾氏台灣 Since 1851,2026-02-04 17:36:45
thedodomen,342,ligonpenha,459531415,🍒강이진,2026-02-04 17:36:45
thedodomen,342,qoop1113,315540148,聖結石Saint,2026-02-04 17:36:45
thedodomen,342,jf_official,3317447922,𝗝𝗮𝘀𝗼𝗻 𝗙𝘂,2026-02-04 17:36:45
thedodomen,342,ggu__kim,1417260337,金針菇🇰🇷쩐꾸,2026-02-04 17:36:45
thedodomen,342,thechef_fred,8071917422,Fred Hsu,2026-02-04 17:36:45
thedodomen,342,liangjheruei,525069112,哲睿Jerry｜跑步教練,2026-02-04 17:36:45
thedodomen,342,jojogarland,1014909754,Joanna Garland 葛藍喬安娜,2026-02-04 17:36:45
thedodomen,342,emma_cheng__,287793710,Emma Cheng,2026-02-04 17:36:45
thedodomen,342,jesslee.ig,52693885,李佳薇 Jess Lee,2026-02-04 17:36:45
thedodomen,342,r850817,1828298761,李俊成,2026-02-04 17:36:45
thedodomen,342,hanhanpovideo,6033704723,阿翰po影片,2026-02-04 17:36:45
thedodomen,342,jlin7,281208646,Jeremy Lin 林書豪,2026-02-04 17:36:45
thedodomen,342,gino.termeulen,37146956202,𝕲𝖎𝖓𝖔,2026-02-04 17:36:45
thedodomen,342,blackmancupid,398372909,黑男邱比特,2026-02-04 17:36:45
thedodomen,342,redbulltaiwan,515818918,Red Bull Taiwan,2026-02-04 17:36:45
thedodomen,342,yanrouya,22926327490,眼肉芽,2026-02-04 17:36:45
thedodomen,342,shinemeimei,18883628825,,2026-02-04 17:36:45
thedodomen,342,zzzzzyi_,1546382732,知知,2026-02-04 17:36:45
thedodomen,342,chang_ricky_life,3066957293,Ricky｜營養師｜減脂結合生活,2026-02-04 17:36:45
